VBELN,ERDAT,AUART,KUNNR
2000005778,2023-09-04,OR,0000000185
2000000608,2022-12-27,OR,0000000405
2000004300,2024-08-23,OR,0000000029
2000005914,2023-01-31,OR,0000000448
2000008933,2024-07-07,OR,0000000463
2000009929,2024-01-12,RE,0000000489
2000004164,2024-09-19,OR,0000000424
2000001847,,OR,0000000185
2000009168,2024-01-02,OR,0000000057
2000004544,2023-02-09,OR,0000000466
2000003164,2024-10-31,OR,0000000391
2000003496,2024-10-29,OR,0000000332
2000006347,2022-12-11,OR,0000000100
2000009417,,SO,0000000076
2000005060,2023-08-07,OR,0000000105
2000004537,2023-06-16,OR,0000000276
2000001762,2024-02-06,OR,0000000433
2000000424,2023-11-12,OR,0000000253
2000002422,2024-09-07,OR,0000000062
2000006844,2025-08-04,OR,0000000416
2000001498,2025-03-17,OR,0000000073
2000005815,2023-11-02,OR,0000000124
2000000436,2025-01-09,OR,0000000492
2000000029,2022-11-18,OR,0000000301
2000005675,2024-02-02,OR,0000000376
2000005574,2024-09-11,OR,0000000018
2000006701,2024-02-23,OR,0000000019
2000003675,2022-10-22,OR,0000000404
2000006494,2023-12-14,OR,0000000196
2000006217,2024-05-09,OR,0000000047
2000007205,2024-03-29,RE,0000000223
2000006809,2022-12-09,OR,0000000103
2000001985,2023-11-13,OR,0000000355
2000004906,2024-02-02,OR,0000000142
2000007788,2025-02-18,OR,0000000056
2000007704,2023-03-09,OR,0000000395
2000008932,2023-08-27,OR,0000000178
2000007679,2025-03-24,OR,0000000311
2000004073,2025-07-05,OR,0000000249
2000005980,2022-10-13,OR,0000000398
2000002962,2024-05-05,OR,0000000141
2000004150,2024-06-06,OR,0000000312
2000006062,2024-12-18,OR,0000000494
2000004503,2025-04-04,OR,0000000392
2000004273,2025-04-14,OR,0000000060
2000007561,2024-12-28,OR,0000000297
2000001300,2025-02-02,OR,0000000319
2000000299,2023-08-09,OR,0000000403
2000005687,2023-02-04,OR,0000000143
2000000221,2023-11-11,OR,0000000329
2000001931,2024-07-25,OR,0000000193
2000004038,2025-08-08,RE,0000000091
2000006190,2024-10-27,OR,0000000316
2000009547,2024-09-27,OR,0000000414
2000006106,2024-02-24,OR,0000000289
2000001698,2024-08-09,SO,0000000299
2000007039,2025-07-21,OR,0000000331
2000002224,2024-11-30,OR,0000000389
2000002187,2025-04-19,RE,0000000455
2000008454,2025-04-01,SO,0000000479
2000004056,2025-03-02,OR,0000000290
2000006707,2024-02-01,OR,0000000446
2000006891,2023-09-24,OR,0000000441
2000002743,2024-09-11,OR,0000000446
2000006269,2023-02-15,OR,0000000335
2000006662,2024-09-27,OR,0000000467
2000001547,2022-08-30,OR,0000000377
2000009389,2024-03-16,OR,0000000209
2000008791,,OR,0000000292
2000003006,2023-03-24,OR,0000000017
2000003593,,OR,0000000193
2000001850,2024-12-02,OR,0000000467
2000001108,2022-09-11,OR,0000000209
2000000930,2023-01-11,OR,0000000092
2000003869,2023-04-12,OR,0000000324
2000002469,2025-05-20,RE,0000000369
2000007529,2024-03-29,OR,0000000402
2000004414,2025-03-23,RE,0000000055
2000001506,2023-12-21,OR,0000000135
2000001143,2022-11-03,OR,0000000253
2000008104,2025-04-08,OR,0000000238
2000000360,2023-08-03,OR,0000000482
2000007858,2023-03-01,OR,0000000445
2000009505,2023-12-01,OR,0000000464
2000007171,2024-05-05,OR,0000000138
2000005688,2023-05-26,OR,0000000449
2000003654,2024-10-30,RE,0000000113
2000006679,2023-08-12,RE,0000000460
2000008923,2024-07-09,OR,0000000173
2000000483,2022-11-15,OR,0000000376
2000005953,2024-03-16,OR,0000000133
2000008950,2024-10-26,OR,0000000444
2000004484,2024-12-11,OR,0000000439
2000003436,2023-03-22,OR,0000000030
2000007948,2022-08-30,OR,0000000330
2000008558,2024-03-22,SO,0000000151
2000003148,2025-05-07,OR,0000000003
2000005813,2025-03-04,RE,0000000213
2000005952,2024-11-09,OR,0000000151
2000008747,2025-02-01,OR,0000000239
2000001207,2024-06-09,OR,0000000245
2000003439,2022-12-01,OR,0000000133
2000004826,2024-10-31,OR,0000000450
2000000660,2024-10-21,OR,0000000195
2000000495,2023-12-22,OR,0000000222
2000004974,,OR,0000000335
2000006246,2024-07-27,OR,0000000090
2000009230,2022-12-10,OR,0000000080
2000009398,2024-11-19,OR,0000000110
2000004714,2025-11-04,OR,0000000021
2000008889,2025-06-23,RE,0000000455
2000006688,2024-02-21,OR,0000000419
2000004044,2023-11-19,OR,0000000227
2000000782,2025-04-19,OR,0000000246
2000004350,2023-04-30,OR,0000000353
2000000935,2022-09-09,OR,0000000404
2000007629,2025-05-13,RE,0000000123
2000005929,2023-02-09,OR,0000000334
2000005048,2024-07-09,OR,0000000367
2000002796,2022-12-13,OR,0000000101
2000008963,2025-06-29,OR,0000000165
2000007340,,OR,0000000002
2000004296,2025-01-06,OR,0000000340
2000001922,2022-10-26,OR,0000000045
2000008297,2025-03-31,OR,0000000008
2000006871,2024-03-20,OR,0000000350
2000008653,2024-04-30,OR,0000000092
2000008795,2022-11-30,OR,0000000169
2000006789,2023-12-31,SO,0000000211
2000007389,2024-12-04,OR,0000000026
2000006535,2023-04-24,OR,0000000351
2000009025,2023-04-17,RE,0000000008
2000008103,2025-03-21,OR,0000000021
2000008918,2024-02-16,OR,0000000243
2000001467,2024-04-16,OR,0000000151
2000009227,2025-01-07,OR,0000000117
2000003455,2023-05-27,OR,0000000167
2000003643,2022-09-07,OR,0000000324
2000003803,2022-10-03,RE,0000000085
2000008067,2023-07-14,OR,0000000446
2000006127,2025-03-11,RE,0000000091
2000004361,2022-10-10,OR,0000000117
2000008272,2023-04-16,OR,0000000263
2000000825,,OR,0000000255
2000004396,2024-09-29,RE,0000000178
2000005241,2025-07-07,SO,0000000421
2000005945,2024-06-13,OR,0000000278
2000007675,2025-08-15,OR,0000000107
2000004672,2025-07-14,OR,0000000323
2000007379,2024-07-18,OR,0000000142
2000008318,2025-04-28,OR,0000000138
2000003331,2024-05-31,OR,0000000113
2000007840,2023-04-15,OR,0000000319
2000006339,2022-08-28,OR,0000000117
2000006600,2025-02-21,OR,0000000119
2000005153,2024-06-16,OR,0000000247
2000005586,2023-04-13,OR,0000000471
2000000446,2023-07-14,OR,0000000002
2000003765,2023-02-01,OR,0000000116
2000008562,2023-05-25,OR,0000000476
2000002250,2025-04-29,OR,0000000185
2000003568,2024-08-28,OR,0000000378
2000005074,2024-04-17,RE,0000000031
2000006664,2024-12-13,OR,0000000340
2000008874,,OR,0000000222
2000006069,2022-09-07,OR,0000000084
2000001053,2025-03-16,OR,0000000298
2000006991,2024-02-14,OR,0000000186
2000001302,2026-04-17,OR,0000000226
2000001335,2024-05-06,OR,0000000453
2000006954,2025-08-11,OR,0000000391
2000006830,2025-06-20,OR,0000000226
2000001586,2024-10-02,OR,0000000202
2000006434,2023-08-18,OR,0000000174
2000004545,2023-04-05,OR,0000000451
2000003159,2025-02-26,OR,0000000293
2000006616,2024-09-06,OR,0000000213
2000008825,2024-08-29,OR,0000000079
2000003611,2025-06-04,OR,0000000490
2000001995,2025-08-11,OR,0000000114
2000006386,2024-12-22,OR,0000000279
2000001827,2023-05-07,OR,0000000399
2000008830,2023-07-26,OR,0000000093
2000006403,2025-07-14,OR,0000000297
2000002685,2023-10-06,OR,0000000085
2000007207,2023-03-01,OR,0000000494
2000005190,2023-10-28,OR,0000000488
2000008238,2022-11-24,OR,0000000177
2000000652,2023-11-10,OR,0000000253
2000005112,2022-12-27,OR,0000000108
2000001136,2025-03-01,OR,0000000394
2000003889,2024-06-17,OR,0000000493
2000007448,2023-08-03,RE,0000000132
2000001870,,OR,0000000413
2000002453,2024-06-27,OR,0000000097
2000000078,2023-05-11,OR,0000000365
2000007689,2025-05-24,SO,0000000413
2000001672,2023-03-04,OR,0000000285
2000004652,2025-05-10,OR,0000000258
2000008123,2023-12-01,OR,0000000089
2000001760,2024-09-27,OR,0000000478
2000000558,2022-12-09,OR,0000000402
2000009329,2024-10-23,OR,0000000072
2000002461,2025-07-02,OR,0000000250
2000000666,2024-12-28,OR,0000000479
2000004492,2023-11-24,SO,0000000366
2000001749,2023-01-13,OR,0000000371
2000008737,2024-04-22,OR,0000000091
2000001447,2025-02-19,OR,0000000110
2000006470,2023-12-10,OR,0000000063
2000004302,2023-06-20,OR,0000000467
2000006749,2022-11-19,RE,0000000488
2000006751,2024-02-09,OR,0000000090
2000003759,2024-09-27,OR,0000000197
2000000968,2024-07-23,OR,0000000142
2000003753,2023-07-28,RE,0000000056
2000001645,2023-05-26,OR,0000000408
2000009818,2023-05-27,OR,0000000336
2000005602,2023-08-08,RE,0000000050
2000006867,2023-04-27,OR,0000000029
2000003855,2023-05-28,OR,0000000290
2000005145,2024-06-14,OR,0000000389
2000000706,2023-02-11,SO,0000000050
2000004636,2023-12-17,RE,0000000129
2000003391,2024-06-20,OR,0000000097
2000007818,2025-02-24,OR,0000000291
2000008787,2023-02-24,OR,0000000336
2000002444,2024-10-08,OR,0000000100
2000008239,2024-08-19,OR,0000000290
2000004708,2024-09-12,SO,0000000222
2000004408,2025-05-28,OR,0000000221
2000009840,2023-06-02,RE,0000000352
2000009601,2024-04-29,OR,0000000262
2000000030,2023-10-31,RE,0000000235
2000006281,2024-01-22,OR,0000000138
2000002487,2024-07-27,OR,0000000174
2000007121,2022-09-10,OR,0000000082
2000009213,2023-11-01,OR,0000000055
2000005387,2023-05-30,OR,0000000337
2000009462,,OR,0000000137
2000004565,2023-10-06,RE,0000000060
2000008938,2025-03-01,OR,0000000072
2000009845,2024-08-02,OR,0000000194
2000008819,2024-04-15,OR,0000000221
2000004119,2024-11-28,OR,0000000204
2000004828,2023-11-18,SO,0000000352
2000009337,2023-05-03,OR,0000000342
2000002496,2024-06-19,OR,0000000492
2000009652,2025-04-23,OR,0000000280
2000006982,2023-01-25,OR,0000000040
2000007988,2023-03-15,OR,0000000334
2000007187,2025-07-16,OR,0000000497
2000001976,2024-07-07,OR,0000000263
2000001663,2024-01-23,OR,0000000026
2000001454,2023-02-21,OR,0000000477
2000005616,2024-01-23,SO,0000000251
2000003751,2022-10-16,OR,0000000437
2000007570,2023-09-06,OR,0000000486
2000001285,2022-11-05,OR,0000000093
2000002044,2025-01-25,OR,0000000403
2000000198,2022-12-20,OR,0000000481
2000009385,2024-12-06,OR,0000000141
2000000611,2023-12-30,OR,0000000105
2000008172,2025-05-28,OR,0000000104
2000009130,2023-02-03,OR,0000000447
2000002687,2022-09-28,OR,0000000266
2000001867,2023-11-11,OR,0000000287
2000000859,2023-03-23,OR,0000000478
2000009342,2023-04-26,OR,0000000336
2000005367,2023-04-28,SO,0000000224
2000003196,2024-07-27,RE,0000000192
2000009055,2024-11-13,OR,0000000294
2000001219,2025-07-01,OR,0000000073
2000008744,2023-04-08,OR,0000000175
2000001206,2025-03-28,OR,0000000012
2000000958,2025-01-07,OR,0000000216
2000007829,2023-05-19,OR,0000000206
2000007496,2023-03-19,OR,0000000194
2000001310,2025-01-06,OR,0000000185
2000006953,2024-02-24,OR,0000000466
2000000296,2023-12-16,OR,0000000020
2000004691,2024-04-18,OR,0000000086
2000009800,2023-07-25,OR,0000000391
2000006622,2023-05-18,OR,0000000122
2000001409,2024-09-28,OR,0000000240
2000000702,2024-01-28,OR,0000000307
2000004366,2024-01-06,OR,0000000415
2000000595,2023-02-21,OR,0000000438
2000001654,2024-06-12,OR,0000000465
2000002815,2025-01-20,OR,0000000195
2000005567,2024-01-31,OR,0000000459
2000006704,2024-09-28,OR,0000000432
2000004810,2023-10-03,OR,0000000346
2000000649,2022-12-02,RE,0000000458
2000008834,2025-04-05,OR,0000000065
2000008916,2025-08-22,OR,0000000126
2000003666,2023-05-29,OR,0000000381
2000008254,2025-06-12,OR,0000000455
2000006261,2025-05-17,OR,0000000045
2000009407,2024-12-18,OR,0000000371
2000000511,2024-07-14,OR,0000000262
2000001862,2024-12-07,OR,0000000308
2000003555,2023-08-24,OR,0000000344
2000004277,2023-11-03,OR,0000000322
2000000162,2022-10-17,OR,0000000314
2000005465,2025-03-09,RE,0000000434
2000008253,2025-04-27,OR,0000000229
2000003822,2024-08-07,OR,0000000022
2000006476,2024-01-09,OR,0000000385
2000003554,2025-06-29,RE,0000000256
2000005519,2022-10-22,OR,0000000418
2000007927,2022-11-27,OR,0000000016
2000002050,2024-09-08,OR,0000000227
2000008045,2025-01-24,OR,0000000206
2000006570,2022-12-17,OR,0000000103
2000002792,2023-10-03,OR,0000000177
2000009794,2022-11-09,OR,0000000387
2000007975,2024-01-05,OR,0000000442
2000008822,2025-06-12,OR,0000000413
2000007626,,OR,0000000021
2000009263,2022-09-10,OR,0000000155
2000009685,2025-07-26,RE,0000000348
2000001859,2024-11-21,RE,0000000113
2000006681,2025-03-18,OR,0000000465
2000006964,2023-03-08,OR,0000000417
2000003020,2024-11-27,OR,0000000076
2000008413,2025-04-23,OR,0000000375
2000009148,2024-05-03,OR,0000000411
2000001400,2024-09-03,OR,0000000134
2000006185,2025-06-10,OR,0000000427
2000009195,2023-06-02,OR,0000000171
2000002725,2024-01-05,OR,0000000450
2000006228,2022-11-05,OR,0000000081
2000007383,2025-07-06,OR,0000000153
2000007196,2023-01-06,OR,0000000076
2000004089,2025-08-22,OR,0000000312
2000000235,2023-04-19,OR,0000000295
2000004314,2023-05-08,OR,0000000484
2000005944,,OR,0000000124
2000003218,2023-08-03,OR,0000000034
2000003405,2023-10-01,OR,0000000306
2000003627,2023-08-19,OR,0000000469
2000002373,2023-12-01,OR,0000000194
2000007877,2023-02-08,OR,0000000356
2000007494,2024-06-04,OR,0000000213
2000002429,2023-07-12,OR,0000000003
2000005581,2024-02-28,OR,0000000253
2000001404,2024-08-17,OR,0000000450
2000002098,2022-11-18,OR,0000000001
2000003454,2023-11-19,OR,0000000070
2000001557,2024-03-11,OR,0000000405
2000008598,2024-11-21,OR,0000000436
2000004001,2023-08-30,RE,0000000363
2000009774,2024-04-15,OR,0000000314
2000002282,2024-09-20,OR,0000000141
2000009648,2024-09-18,OR,0000000230
2000007369,2025-08-18,OR,0000000265
2000008506,2023-11-06,OR,0000000096
2000005319,2024-04-29,OR,0000000342
2000002791,2024-10-31,RE,0000000493
2000003335,2025-07-08,OR,0000000393
2000006148,2024-03-31,OR,0000000184
2000007542,2024-10-21,OR,0000000351
2000008151,2022-09-08,OR,0000000012
2000003142,2024-12-23,RE,0000000007
2000009952,2024-10-27,OR,0000000490
2000004359,2023-04-02,OR,0000000329
2000002996,2022-09-28,OR,0000000390
2000003363,2024-04-22,OR,0000000430
2000006002,2023-10-22,OR,0000000302
2000001946,2022-10-02,OR,0000000489
2000002939,2023-10-13,SO,0000000438
2000006805,2024-11-03,OR,0000000229
2000009177,2022-12-28,OR,0000000131
2000009528,2023-09-28,SO,0000000079
2000002736,2024-09-24,OR,0000000443
2000006348,2023-11-29,OR,0000000427
2000003251,2024-04-07,RE,0000000085
2000007779,2023-07-04,OR,0000000029
