MATNR,MAKTX,MTART,BRGEW
MAT-000207,Analysis soldier,HALB,47.14
MAT-000208,Alone assume,FERT,16.65
MAT-000209,Safe act,FERT,8.08
MAT-000210,Part fund,ROH,15.83
MAT-000211,Continue each,HALB,31.54
MAT-000212,However relationship,HALB,26.93
MAT-000213,Bad expert,FERT,26.1
MAT-000214,Radio data,ROH,5.3
MAT-000215,Game matter,FERT,42.06
MAT-000216,Experience lawyer,FERT,45.99
MAT-000217,Thing world,FERT,28.25
MAT-000218,Far into,ROH,46.93
MAT-000219,Hospital laugh,HALB,25.07
MAT-000220,Give eat,ROH,26.71
MAT-000221,Imagine article,ROH,7.25
MAT-000222,Various easy,HALB,15.58
MAT-000223,Event final,FERT,46.5
MAT-000224,Page wall,FERT,35.85
MAT-000225,Head travel,HALB,28.83
MAT-000226,Various want,HALB,46.21
MAT-000227,Meeting another,HALB,13.9
MAT-000228,Kitchen nature,ROH,8.24
MAT-000229,Big ago,ROH,31.61
MAT-000230,Kid us,ROH,4.64
MAT-000231,Available same,ROH,19.89
MAT-000232,Next cell,ROH,4.36
MAT-000233,Part suddenly,HALB,26.2
MAT-000234,Door significant,FERT,41.9
MAT-000235,Enough place,ROH,12.85
MAT-000236,Its two,ROH,13.54
MAT-000237,Newspaper pay,HALB,2.64
MAT-000238,Man option,ROH,36.58
MAT-000239,Similar occur,ROH,36.9
MAT-000240,Arrive church,ROH,11.03
MAT-000241,General easy,FERT,47.42
MAT-000242,Suddenly feel,ROH,48.82
MAT-000243,Send try,FERT,2.55
MAT-000244,Either history,HALB,42.38
MAT-000245,Price history,FERT,37.29
MAT-000246,Himself threat,ROH,12.53
MAT-000247,Morning conference,HALB,22.28
MAT-000248,Three reveal,ROH,3.99
MAT-000249,Generation else,FERT,27.29
MAT-000250,Team type,HALB,11.86
MAT-000251,Operation participant,ROH,33.02
MAT-000252,Enjoy information,FERT,35.83
MAT-000253,Travel east,HALB,6.28
MAT-000254,Open we,FERT,9.1
MAT-000255,Wind his,HALB,39.74
MAT-000256,Project morning,HALB,17.8
MAT-000257,Although product,HALB,27.57
MAT-000258,Letter unit,HALB,2.49
MAT-000259,Stay live,HALB,15.94
MAT-000260,Health prepare,ROH,2.74
MAT-000261,Cost soon,FERT,29.8
MAT-000262,Task together,ROH,0.92
MAT-000263,Difference age,ROH,15.39
MAT-000264,Early lawyer,FERT,14.37
MAT-000265,Travel stop,HALB,36.4
MAT-000266,Change sense,ROH,31.8
MAT-000267,Whom teacher,HALB,4.24
MAT-000268,Movement eat,HALB,25.6
MAT-000269,Mean fill,FERT,18.25
MAT-000270,Agreement usually,FERT,25.61
MAT-000271,Choice kid,HALB,4.37
MAT-000272,After operation,HALB,45.3
MAT-000273,Within seek,FERT,25.0
MAT-000274,Study sing,ROH,7.21
MAT-000275,Her chair,HALB,25.66
MAT-000276,Sister collection,ROH,36.34
MAT-000277,Word stage,FERT,27.93
MAT-000278,Coach series,HALB,37.98
MAT-000279,Animal analysis,HALB,10.39
MAT-000280,Couple federal,FERT,11.84
MAT-000281,In community,FERT,10.86
MAT-000282,Student consumer,ROH,13.91
MAT-000283,Fine those,FERT,28.59
MAT-000284,Door either,ROH,22.89
MAT-000285,Draw scientist,HALB,6.55
MAT-000286,Wife computer,HALB,38.3
MAT-000287,Letter movie,ROH,37.45
MAT-000288,Care lose,ROH,11.31
MAT-000289,Western image,HALB,2.8
MAT-000290,Management area,FERT,22.11
MAT-000291,Month husband,ROH,41.01
MAT-000292,Share speech,ROH,19.06
MAT-000293,Table account,ROH,2.75
MAT-000294,Dog without,FERT,22.8
MAT-000295,Option teacher,HALB,16.95
MAT-000296,Account family,HALB,43.72
MAT-000297,Anything amount,FERT,31.43
MAT-000298,Grow TV,FERT,32.78
MAT-000299,Far quite,HALB,7.25
MAT-000300,Family tree,ROH,5.16
MAT-000301,Tonight cup,ROH,2.25
MAT-000302,Movie money,ROH,31.93
MAT-000303,Eat bed,FERT,12.79
MAT-000304,Rest again,FERT,43.25
MAT-000305,President save,ROH,32.62
MAT-000306,Reduce meeting,HALB,7.62
MAT-000307,Sure above,ROH,37.37
MAT-000308,Since test,HALB,15.22
MAT-000309,Politics social,FERT,49.44
MAT-000310,Actually whom,ROH,31.47
MAT-000311,Difference order,HALB,24.6
MAT-000312,Writer information,ROH,42.39
MAT-000313,Choice choose,FERT,48.61
MAT-000314,Cultural no,HALB,20.31
MAT-000315,Especially not,HALB,31.68
MAT-000316,Ground candidate,FERT,33.24
MAT-000317,Wait listen,FERT,32.13
MAT-000318,Race dark,FERT,21.96
MAT-000319,Work team,HALB,30.09
MAT-000320,Star other,HALB,8.64
MAT-000321,Democratic without,ROH,2.53
MAT-000322,Brother radio,ROH,42.4
MAT-000323,Beyond onto,ROH,33.43
MAT-000324,Run people,FERT,33.2
MAT-000325,Grow partner,FERT,11.89
MAT-000326,Strategy buy,FERT,29.86
MAT-000327,Who close,FERT,33.29
MAT-000328,Fight today,HALB,32.49
MAT-000329,Somebody before,FERT,5.5
MAT-000330,Fill plant,FERT,28.59
MAT-000331,Side police,ROH,47.69
MAT-000332,Listen knowledge,ROH,30.49
MAT-000333,Full out,FERT,40.24
MAT-000334,Building will,ROH,4.95
MAT-000335,Letter through,HALB,25.0
MAT-000336,Us property,HALB,13.8
MAT-000337,Large discuss,ROH,20.43
MAT-000338,Change ground,FERT,8.79
MAT-000339,Impact cold,ROH,10.52
MAT-000340,Be care,HALB,48.81
MAT-000341,Weight two,FERT,10.86
MAT-000342,Up newspaper,FERT,38.26
MAT-000343,Win pass,ROH,2.31
MAT-000344,Ok probably,FERT,36.14
MAT-000345,Far environment,HALB,45.89
MAT-000346,Beyond give,ROH,24.71
MAT-000347,Rise general,FERT,20.09
MAT-000348,Huge miss,ROH,35.52
MAT-000349,Suddenly you,HALB,4.5
MAT-000350,Inside note,ROH,18.62
MAT-000351,Improve education,FERT,48.54
MAT-000352,Contain situation,FERT,12.26
MAT-000353,Property Mrs,ROH,13.25
MAT-000354,Meet detail,FERT,42.07
MAT-000355,Discover real,ROH,43.38
MAT-000356,Capital know,ROH,19.7
MAT-000357,Tree cup,HALB,15.3
MAT-000358,Notice crime,HALB,49.42
MAT-000359,Enter bring,FERT,9.09
MAT-000360,Source policy,ROH,43.93
MAT-000361,Since and,FERT,0.58
MAT-000362,Program wide,ROH,20.23
MAT-000363,Measure change,FERT,28.67
MAT-000364,Situation able,FERT,36.16
MAT-000365,Education radio,HALB,39.51
MAT-000366,Believe professor,ROH,45.61
MAT-000367,Tend thousand,ROH,27.54
MAT-000368,Ever truth,HALB,41.13
MAT-000369,Prevent soon,ROH,4.0
MAT-000370,Dream spring,FERT,8.67
MAT-000371,Firm need,ROH,1.71
MAT-000372,Single assume,ROH,48.2
MAT-000373,Join rise,FERT,34.51
MAT-000374,Yeah plant,HALB,16.97
MAT-000375,Mother wall,FERT,18.26
MAT-000376,Generation senior,HALB,10.36
MAT-000377,Hotel become,ROH,26.66
MAT-000378,Item visit,FERT,14.19
MAT-000379,Training good,HALB,19.71
MAT-000380,Executive society,FERT,30.45
MAT-000381,Increase whatever,FERT,25.45
MAT-000382,Mention light,FERT,39.31
MAT-000383,Resource unit,ROH,23.69
MAT-000384,Move true,ROH,3.59
MAT-000385,Help impact,FERT,10.87
MAT-000386,Strong add,FERT,18.48
MAT-000387,Skill somebody,FERT,10.13
MAT-000388,Environmental model,HALB,39.69
MAT-000389,Quality place,HALB,43.72
MAT-000390,President Mr,FERT,7.76
MAT-000391,Issue it,HALB,18.8
MAT-000392,However still,HALB,10.71
MAT-000393,Well member,FERT,43.71
MAT-000394,When law,ROH,16.49
MAT-000395,Hundred while,HALB,10.75
MAT-000396,Leader amount,HALB,10.24
MAT-000397,While Mrs,FERT,14.46
MAT-000398,Take kid,ROH,34.77
MAT-000399,Moment think,ROH,28.25
MAT-000400,Color war,ROH,24.36
MAT-000401,Only pretty,HALB,18.68
MAT-000402,Wide lead,ROH,28.96
MAT-000403,Check station,HALB,35.12
MAT-000404,Past despite,FERT,0.94
MAT-000405,Serious other,FERT,13.4
MAT-000406,Specific red,HALB,20.49
MAT-000407,Term nothing,HALB,6.68
MAT-000408,Receive agency,ROH,15.66
MAT-000409,Small price,ROH,13.35
MAT-000410,Public discussion,HALB,21.41
MAT-000411,Energy successful,HALB,40.24
MAT-000412,Relationship summer,HALB,12.32
MAT-000413,Generation little,ROH,4.13
MAT-000414,Image however,FERT,39.44
MAT-000415,Head force,FERT,31.66
MAT-000416,People bag,HALB,4.24
MAT-000417,Key much,HALB,40.51
MAT-000418,Economic career,ROH,40.92
MAT-000419,Thousand employee,FERT,35.71
MAT-000420,Father nothing,HALB,24.27
MAT-000421,Soon throughout,ROH,49.79
MAT-000422,Nothing pull,FERT,3.32
MAT-000423,Pressure six,ROH,10.77
MAT-000424,Relationship among,FERT,16.86
MAT-000425,Democratic since,FERT,49.02
MAT-000426,Rich lay,FERT,8.38
MAT-000427,Ball never,FERT,9.01
MAT-000428,Beautiful glass,FERT,6.35
MAT-000429,Support group,FERT,42.82
MAT-000430,Black in,ROH,3.47
MAT-000431,Agree open,ROH,23.08
MAT-000432,Give pay,ROH,35.8
MAT-000433,Say start,FERT,39.56
MAT-000434,Us where,FERT,20.19
MAT-000435,Always pretty,FERT,31.46
MAT-000436,Help describe,FERT,49.52
MAT-000437,Know my,FERT,3.55
MAT-000438,Thus either,FERT,18.31
MAT-000439,Necessary old,ROH,36.72
MAT-000440,Far movie,HALB,4.05
MAT-000441,My allow,ROH,14.44
MAT-000442,Hold sport,HALB,6.78
MAT-000443,City school,ROH,10.58
MAT-000444,Force no,FERT,47.42
MAT-000445,Religious forget,FERT,18.2
MAT-000446,Add human,FERT,26.62
MAT-000447,Guess break,ROH,14.47
MAT-000448,Imagine drive,HALB,40.7
MAT-000449,Attention though,FERT,38.6
MAT-000450,Understand discussion,FERT,40.39
MAT-000451,Though particular,ROH,11.96
MAT-000452,Capital democratic,HALB,12.19
MAT-000453,Remain weight,ROH,6.85
MAT-000454,Pick cultural,ROH,33.53
MAT-000455,Test well,ROH,8.07
MAT-000456,Last production,FERT,6.05
MAT-000457,Forward player,ROH,9.7
MAT-000458,Remain I,FERT,6.49
MAT-000459,Theory team,HALB,32.9
MAT-000460,Our black,ROH,2.32
MAT-000461,Student hope,ROH,17.46
MAT-000462,Star own,FERT,41.01
MAT-000463,Explain exactly,HALB,28.32
MAT-000464,Daughter pick,HALB,7.03
MAT-000465,Though rest,HALB,46.05
MAT-000466,Exist high,FERT,7.76
MAT-000467,Piece offer,ROH,21.47
MAT-000468,Area certain,FERT,17.78
MAT-000469,Agree land,HALB,11.2
MAT-000470,Inside reality,ROH,28.54
MAT-000471,Opportunity base,ROH,15.61
MAT-000472,Adult beautiful,HALB,42.42
MAT-000473,Budget reveal,ROH,17.81
MAT-000474,Government newspaper,HALB,37.98
MAT-000475,None week,ROH,6.75
MAT-000476,Home affect,ROH,15.88
MAT-000477,Many provide,ROH,1.21
MAT-000478,Push despite,HALB,34.59
MAT-000479,Create really,HALB,30.43
MAT-000480,Must forget,HALB,39.48
MAT-000481,Sing five,ROH,39.08
MAT-000482,Capital service,ROH,44.07
MAT-000483,Red drive,HALB,17.98
MAT-000484,Explain word,FERT,37.46
MAT-000485,Site spend,HALB,44.65
MAT-000486,Town year,ROH,29.31
MAT-000487,Town why,HALB,41.15
MAT-000488,Myself hear,HALB,42.72
MAT-000489,Look station,FERT,14.93
MAT-000490,Letter game,ROH,9.99
MAT-000491,Not home,FERT,37.02
MAT-000492,Between pick,HALB,43.67
MAT-000493,Our area,FERT,16.77
MAT-000494,Rate next,HALB,27.36
MAT-000495,Knowledge conference,FERT,28.81
MAT-000496,Husband lead,HALB,33.01
MAT-000497,Official huge,HALB,24.5
MAT-000498,Remain check,ROH,21.85
MAT-000499,List good,HALB,44.43
MAT-000500,Leader hotel,FERT,49.94
MAT-000501,Finish industry,ROH,16.41
MAT-000502,Available tough,FERT,28.65
MAT-000503,Suffer trouble,HALB,38.66
MAT-000504,Usually visit,ROH,24.54
MAT-000505,Type skill,HALB,38.61
MAT-000506,Reduce not,FERT,24.32
MAT-000507,Stand enough,FERT,12.27
MAT-000508,Sign many,HALB,26.81
MAT-000509,Up model,ROH,9.26
MAT-000510,Thus create,ROH,6.75
MAT-000511,In ability,FERT,0.51
MAT-000512,Make music,HALB,37.58
MAT-000513,Site different,HALB,25.46
MAT-000514,Personal long,ROH,26.05
MAT-000515,Drive theory,FERT,22.06
MAT-000516,Open fire,HALB,47.58
MAT-000517,Help machine,ROH,40.0
MAT-000518,Bad how,HALB,8.72
MAT-000519,Dream cost,HALB,10.44
MAT-000520,Peace with,ROH,38.05
MAT-000521,Direction team,FERT,3.5
MAT-000522,Month why,FERT,27.97
MAT-000523,Three of,ROH,37.98
MAT-000524,Apply sure,HALB,20.11
MAT-000525,Himself within,FERT,27.7
MAT-000526,Maintain miss,FERT,19.71
MAT-000527,Reality laugh,ROH,22.5
MAT-000528,Unit cell,ROH,41.63
MAT-000529,West foot,ROH,42.04
MAT-000530,Too family,ROH,1.16
MAT-000531,Billion court,ROH,40.84
MAT-000532,Theory save,ROH,25.93
MAT-000533,General old,FERT,22.31
MAT-000534,Nice glass,FERT,45.66
MAT-000535,Age win,HALB,9.36
MAT-000536,Here technology,FERT,40.64
MAT-000537,Wish myself,HALB,28.19
MAT-000538,Option third,HALB,43.76
MAT-000539,Decide once,HALB,28.28
MAT-000540,Former recognize,HALB,21.87
MAT-000541,Then if,FERT,10.4
MAT-000542,Second tough,ROH,45.85
MAT-000543,Together maybe,FERT,46.31
MAT-000544,After begin,ROH,27.49
MAT-000545,Move these,HALB,12.33
MAT-000546,Choice foreign,ROH,4.0
MAT-000547,While morning,HALB,43.7
MAT-000548,Have law,ROH,18.27
MAT-000549,State east,HALB,21.33
MAT-000550,Hope mouth,HALB,46.87
MAT-000551,Thousand practice,ROH,44.11
MAT-000552,Poor American,HALB,28.53
MAT-000553,Responsibility race,ROH,27.51
MAT-000554,Certain church,ROH,16.78
MAT-000555,Analysis its,HALB,4.41
MAT-000556,Quality today,FERT,5.86
MAT-000557,Establish occur,FERT,37.58
MAT-000558,Week share,FERT,9.47
MAT-000559,Beyond change,ROH,14.42
MAT-000560,Knowledge draw,ROH,40.11
MAT-000561,Gun inside,HALB,8.88
MAT-000562,Tv language,ROH,46.61
MAT-000563,Live floor,FERT,8.57
MAT-000564,Yes own,HALB,2.39
MAT-000565,Sport us,ROH,4.87
MAT-000566,Three try,FERT,2.27
MAT-000567,Responsibility off,HALB,45.61
MAT-000568,Position reveal,FERT,21.52
MAT-000569,Federal try,HALB,31.44
MAT-000570,Choose government,FERT,42.06
MAT-000571,Identify provide,HALB,11.26
MAT-000572,Health think,ROH,7.19
MAT-000573,Within able,ROH,14.78
MAT-000574,All gas,HALB,44.79
MAT-000575,Huge long,ROH,19.92
MAT-000576,Compare trip,FERT,11.84
MAT-000577,Light accept,ROH,38.34
MAT-000578,Message politics,ROH,32.09
MAT-000579,Line site,ROH,39.99
MAT-000580,Mention under,ROH,44.68
MAT-000581,Affect measure,FERT,19.16
MAT-000582,Determine citizen,FERT,14.98
MAT-000583,Stay power,ROH,9.19
MAT-000584,Know human,FERT,23.0
MAT-000585,Officer phone,HALB,25.65
MAT-000586,People official,ROH,9.53
MAT-000587,Term home,HALB,18.91
MAT-000588,Head treat,HALB,44.12
MAT-000589,Choice challenge,ROH,22.93
MAT-000590,Involve worry,FERT,48.32
MAT-000591,First walk,ROH,42.63
MAT-000592,Organization page,ROH,42.61
MAT-000593,Look push,ROH,17.16
MAT-000594,Music attention,HALB,14.78
MAT-000595,Left score,HALB,36.77
MAT-000596,Kid still,HALB,31.91
MAT-000597,Call product,ROH,22.85
MAT-000598,Good structure,HALB,35.1
MAT-000599,Night fact,FERT,9.35
MAT-000600,Continue poor,HALB,10.49
MAT-000601,Yard week,HALB,3.6
MAT-000602,Prevent impact,FERT,38.32
MAT-000603,Control over,FERT,16.3
MAT-000604,Test wind,HALB,33.72
MAT-000605,All suggest,ROH,43.38
MAT-000606,Full fly,HALB,23.57
MAT-000607,Level majority,FERT,25.58
MAT-000608,Deep herself,FERT,46.44
MAT-000609,Black price,FERT,14.69
MAT-000610,Few notice,HALB,32.63
MAT-000611,Development bad,ROH,16.08
MAT-000612,Yourself actually,HALB,48.54
MAT-000613,Personal could,FERT,28.31
MAT-000614,Believe drug,FERT,5.01
MAT-000615,Per its,FERT,36.06
MAT-000616,Couple drug,FERT,27.55
MAT-000617,Identify town,FERT,18.84
MAT-000618,Happy property,HALB,5.57
MAT-000619,Human another,ROH,29.86
MAT-000620,Behavior exist,ROH,21.05
MAT-000621,Upon foreign,ROH,22.85
MAT-000622,Must loss,ROH,24.12
MAT-000623,Wish conference,ROH,46.23
MAT-000624,Ahead become,ROH,25.64
MAT-000625,Middle listen,HALB,9.98
MAT-000626,Term identify,ROH,12.48
MAT-000627,Politics particular,FERT,17.18
MAT-000628,Power former,FERT,30.73
MAT-000629,Dark part,HALB,31.49
MAT-000630,Black gun,FERT,32.2
MAT-000631,Collection enough,FERT,30.53
MAT-000632,Wife here,FERT,20.07
MAT-000633,Usually medical,FERT,41.77
MAT-000634,Statement interesting,FERT,27.52
MAT-000635,Ability benefit,ROH,47.01
MAT-000636,Law begin,HALB,46.67
MAT-000637,Citizen concern,HALB,22.18
MAT-000638,Ground again,HALB,24.26
MAT-000639,Middle wrong,HALB,49.48
MAT-000640,Happen fire,HALB,20.21
MAT-000641,Born respond,FERT,42.06
MAT-000642,Where space,FERT,15.18
MAT-000643,Factor office,FERT,48.06
MAT-000644,Suddenly note,FERT,43.47
MAT-000645,Six as,HALB,33.84
MAT-000646,Decision ability,ROH,4.52
MAT-000647,Book present,HALB,11.42
MAT-000648,Trial themselves,ROH,9.81
MAT-000649,Man assume,HALB,26.81
MAT-000650,Trade number,HALB,46.1
MAT-000651,Theory student,ROH,49.08
MAT-000652,Night expect,ROH,13.64
MAT-000653,Line old,ROH,41.55
MAT-000654,Alone as,HALB,23.98
MAT-000655,Miss range,ROH,21.24
MAT-000656,Military use,FERT,9.86
MAT-000657,Our Democrat,ROH,0.86
MAT-000658,Lay my,HALB,21.76
MAT-000659,Drive light,HALB,28.86
MAT-000660,Light there,ROH,41.16
MAT-000661,Score sure,ROH,44.14
MAT-000662,Necessary direction,ROH,22.35
MAT-000663,Friend value,HALB,21.97
MAT-000664,Sea western,FERT,39.58
MAT-000665,Democrat sport,ROH,35.26
MAT-000666,Send color,ROH,25.25
MAT-000667,Car their,HALB,20.31
MAT-000668,Knowledge easy,ROH,29.97
MAT-000669,Himself light,HALB,32.9
MAT-000670,Cultural morning,ROH,40.51
MAT-000671,Film without,HALB,44.85
MAT-000672,Blue share,FERT,18.39
MAT-000673,Push they,ROH,27.37
MAT-000674,Service shake,FERT,16.14
MAT-000675,International performance,HALB,3.66
MAT-000676,Light campaign,HALB,46.51
MAT-000677,Economic water,ROH,29.33
MAT-000678,Entire account,ROH,49.32
MAT-000679,Candidate meeting,HALB,30.28
MAT-000680,Everyone happen,HALB,32.53
MAT-000681,Trouble final,FERT,30.65
MAT-000682,Feel note,HALB,45.15
MAT-000683,Impact now,FERT,41.93
MAT-000684,Very day,ROH,28.45
MAT-000685,Task character,HALB,16.08
MAT-000686,Along then,ROH,37.11
MAT-000687,Price lead,ROH,6.33
MAT-000688,Realize hotel,HALB,9.44
