VBELN,POSNR,MATNR,KWMENG,NETWR
2000008511,20,MAT-000394,60,81821.4
2000004477,20,MAT-000739,72,130477.68
2000006446,30,MAT-000652,59,62722.31
2000008990,10,MAT-000354,37,752.21
2000004540,40,MAT-000011,94,177846.12
2000005314,10,MAT-000258,68,81326.64
2000001106,40,MAT-000749,95,57825.55
2000002663,30,MAT-000232,15,25330.35
2000005687,10,MAT-000201,62,53484.3
2000005830,30,MAT-000908,71,119740.79
2000007783,10,MAT-000205,69,12691.86
2000002719,10,MAT-000574,88,29940.24
2000003578,10,MAT-000490,15,18346.05
2000000222,10,MAT-000935,12,2654.52
2000007588,10,MAT-000713,23,45353.7
2000006314,20,MAT-000555,89,7718.97
2000002795,30,MAT-000895,3,1501.35
2000001917,20,MAT-000684,48,70969.92
2000009174,10,MAT-000308,58,25239.28
2000009709,30,MAT-000445,2,2893.94
2000007230,40,MAT-000810,64,96115.2
2000008236,50,MAT-000045,26,-36467.6
2000001132,30,MAT-000876,7,4928.0
2000000820,50,MAT-000189,37,53060.96
2000004993,20,MAT-000512,87,97133.76
2000009846,20,MAT-000217,56,-61771.92
2000009369,10,MAT-000145,32,58329.92
2000005948,10,MAT-000016,19,23658.61
2000008040,20,MAT-000200,71,84511.3
2000003498,30,MAT-000243,92,109787.28
2000000491,10,MAT-000717,19,13490.95
2000008443,20,MAT-000068,2,2376.34
2000006576,10,MAT-000464,43,27281.35
2000001587,20,MAT-000141,46,
2000007043,20,MAT-000077,52,75314.72
2000008117,10,MAT-000990,99,109363.32
2000006626,40,MAT-000615,10,3259.6
2000003588,10,MAT-000208,32,37845.76
2000002611,20,MAT-000984,19,30714.83
2000008966,30,MAT-000804,29,7746.77
2000008464,30,MAT-000643,81,126799.83
2000001570,30,MAT-000899,71,39209.04
2000003196,20,MAT-000341,7,13253.38
2000007042,30,MAT-000775,75,18705.0
2000007913,30,MAT-000168,57,68203.92
2000001646,30,MAT-000646,50,97944.5
2000000867,20,MAT-000167,27,9077.67
2000004262,20,MAT-000719,40,69786.4
2000002862,10,MAT-000599,4,576.52
2000005597,30,MAT-000022,74,86259.58
2000006981,20,MAT-000857,76,66149.64
2000003167,30,MAT-000761,71,101720.28
2000003436,30,MAT-000691,80,80896.0
2000008882,30,MAT-000971,11,6368.34
2000001791,20,MAT-000248,82,48413.62
2000003137,10,MAT-000570,19,
2000003842,30,MAT-000671,48,
2000001995,40,MAT-000024,12,23425.56
2000003599,20,MAT-000047,71,95443.88
2000007920,10,MAT-000362,77,46123.77
2000005531,20,MAT-000053,28,52709.16
2000008574,40,MAT-000153,97,148025.88
2000004831,10,MAT-000162,12,2963.28
2000005831,10,MAT-000095,31,17516.55
2000008236,20,MAT-000225,45,-64917.45
2000009012,20,MAT-000324,66,41116.68
2000008700,30,MAT-000461,63,83316.87
2000007764,30,MAT-000369,6,9022.08
2000005702,10,MAT-000171,96,173508.48
2000008050,40,MAT-000706,96,89594.88
2000008703,10,MAT-000608,36,25756.92
2000008962,50,MAT-000879,60,15197.4
2000008643,10,MAT-000998,8,4553.52
2000004797,20,MAT-000310,60,20532.6
2000000472,20,MAT-000710,3,4818.72
2000002866,40,MAT-000749,63,19485.27
2000007083,10,MAT-000988,10,3969.9
2000005041,50,MAT-000719,41,50746.52
2000006173,30,MAT-000040,4,3858.88
2000003311,30,MAT-000496,49,78245.65
2000003217,10,MAT-000377,9,14733.0
2000001270,30,MAT-000892,80,146849.6
2000002030,10,MAT-000008,4,645.88
2000006054,10,MAT-000041,70,33070.8
2000002173,50,MAT-000288,28,7637.28
2000004334,20,MAT-000173,94,127969.72
2000009802,10,MAT-000570,99,188192.07
2000003595,10,MAT-000925,19,10069.24
2000005198,40,MAT-000980,32,846.72
2000007124,20,MAT-000950,98,143052.56
2000001489,30,MAT-000834,74,105773.38
2000007706,20,MAT-000180,49,82118.61
2000002625,40,MAT-000123,9,5299.38
2000001361,30,MAT-000039,68,73369.28
2000003021,20,MAT-000800,56,41088.32
2000008942,10,MAT-000308,90,62493.3
2000000933,20,MAT-000871,45,57778.65
2000008915,10,MAT-000588,56,20970.32
2000009088,20,MAT-000228,58,60457.46
2000001171,10,MAT-000382,86,130552.3
2000000322,30,MAT-000669,31,39262.12
2000008651,10,MAT-000870,20,11423.0
2000005738,20,MAT-000098,80,
2000001116,40,MAT-000692,78,152536.8
2000004878,20,MAT-000593,26,19683.56
2000005962,30,MAT-000236,11,2353.78
2000006751,40,MAT-000804,12,4100.64
2000004277,50,MAT-000809,60,79107.6
2000004064,10,MAT-000617,49,81582.55
2000004232,10,MAT-000188,98,167523.16
2000009483,20,MAT-000807,71,16875.99
2000006088,10,MAT-000531,53,20162.26
2000008100,30,MAT-000067,4,4291.76
2000005587,10,MAT-000374,14,20404.3
2000004084,40,MAT-000619,86,59826.76
2000000206,20,MAT-000348,28,42205.24
2000009268,30,MAT-000900,8,14289.12
2000003109,40,MAT-000014,22,15252.82
2000007270,40,MAT-000636,32,50073.28
2000003320,10,MAT-000039,100,87668.0
2000001924,30,MAT-000461,96,3126.72
2000008125,10,MAT-000582,33,36647.16
2000009260,20,MAT-000201,6,6519.96
2000005470,10,MAT-000786,17,15920.5
2000006899,30,MAT-000778,82,43306.66
2000009008,30,MAT-000011,98,40586.7
2000009627,30,MAT-000026,45,23811.75
2000005306,10,MAT-000504,12,10054.8
2000000779,30,MAT-000584,17,5582.97
2000004541,30,MAT-000862,100,98122.0
2000006525,10,MAT-000224,93,20996.61
2000009002,10,MAT-000983,85,83526.1
2000006109,30,MAT-000465,54,82148.58
2000009742,20,MAT-000237,54,14905.08
2000007343,50,MAT-000056,38,11192.14
2000000419,10,MAT-000192,29,15090.15
2000004075,10,MAT-000004,7,9730.07
2000001472,10,MAT-000234,59,111528.88
2000003286,30,MAT-000312,68,82184.8
2000008965,10,MAT-000423,43,81920.16
2000000958,10,MAT-000500,7,6554.94
2000001969,10,MAT-000374,47,6021.17
2000002260,20,MAT-000495,79,59016.16
2000007736,30,MAT-000734,20,37547.0
2000006019,30,MAT-000097,50,54550.0
2000009982,20,MAT-000160,87,5142.57
2000005586,30,MAT-000443,41,21973.13
2000006446,40,MAT-000068,29,11736.01
2000004446,40,MAT-000047,94,119452.38
2000001384,40,MAT-000910,99,155850.75
2000003197,10,MAT-000773,89,108847.89
2000007585,20,MAT-000989,89,86478.63
2000002988,20,MAT-000987,9,10263.15
2000000276,10,MAT-000853,37,65828.55
2000004652,20,MAT-000164,88,91630.0
2000009203,30,MAT-000546,96,54612.48
2000003168,20,MAT-000062,18,20174.4
2000007622,30,MAT-000483,86,74327.22
2000002547,20,MAT-000055,79,4589.9
2000007995,20,MAT-000106,93,32345.4
2000002620,50,MAT-000051,21,27763.26
2000000861,50,MAT-000387,59,5842.77
2000008755,10,MAT-000273,38,
2000005944,20,MAT-000398,84,131089.56
2000001091,10,MAT-000276,19,30141.03
2000004162,10,MAT-000929,18,3823.92
2000007637,20,MAT-000969,41,6992.96
2000004988,50,MAT-000662,72,19146.24
2000008740,10,MAT-000527,80,153439.2
2000001265,20,MAT-000714,43,70075.81
2000005366,40,MAT-000352,100,186254.0
2000003977,40,MAT-000388,93,139832.94
2000005644,20,MAT-000747,76,10144.48
2000003786,20,MAT-000451,22,36916.66
2000002142,30,MAT-000008,52,59729.8
2000006771,20,MAT-000425,95,-34273.15
2000001629,30,MAT-000853,65,
2000005678,20,MAT-000285,31,12671.25
2000003930,20,MAT-000918,91,90771.59
2000009281,50,MAT-000386,15,24677.85
2000001604,20,MAT-000733,97,128999.33
2000001892,30,MAT-000690,40,62112.8
2000000566,40,MAT-000764,31,55495.58
2000007216,20,MAT-000226,39,
2000001710,10,MAT-000933,72,54588.96
2000008343,30,MAT-000592,49,23541.56
2000005351,50,MAT-000850,58,46059.54
2000005487,10,MAT-000278,76,50580.28
2000009094,40,MAT-000564,13,21009.43
2000007761,10,MAT-000107,8,9654.88
2000003031,40,MAT-000575,76,41027.08
2000002823,10,MAT-000466,16,22200.32
2000004576,20,MAT-000148,36,45547.92
2000008594,20,MAT-000879,72,47836.08
2000001752,50,MAT-000072,87,42913.62
2000001158,40,MAT-000225,95,123375.55
2000006659,40,MAT-000693,100,88629.0
2000000519,10,MAT-000817,62,26028.22
2000003926,20,MAT-000996,16,307.68
2000002216,10,MAT-000705,16,24565.28
2000000142,30,MAT-000917,62,88903.66
2000000436,30,MAT-000902,82,133233.6
2000008943,10,MAT-000195,99,168359.4
2000007466,10,MAT-000509,2,3896.96
2000005220,20,MAT-000320,79,81072.96
2000002557,10,MAT-000288,78,44354.7
2000001053,10,MAT-000676,14,22602.58
2000007047,30,MAT-000830,53,69927.67
2000009170,10,MAT-000664,10,8294.5
2000005434,30,MAT-000488,88,75330.64
2000008773,30,MAT-000942,55,84478.9
2000003691,30,MAT-000018,40,51973.6
2000009878,30,MAT-000495,99,123225.3
2000007734,10,MAT-000485,68,10576.04
2000004179,10,MAT-000250,71,95022.85
2000004687,40,MAT-000501,48,21196.32
2000009941,30,MAT-000462,34,19855.66
2000009003,20,MAT-000228,44,6057.92
2000002036,20,MAT-000205,25,33945.5
2000001862,10,MAT-000122,21,35078.82
2000006998,10,MAT-000080,53,14545.32
2000004794,10,MAT-000638,39,12958.14
2000009399,10,MAT-000365,73,76252.15
2000008452,10,MAT-000136,83,135529.04
2000003718,20,MAT-000964,79,153218.13
2000008143,20,MAT-000559,60,103704.6
2000003393,10,MAT-000924,8,-5540.24
2000001677,20,MAT-000515,10,3414.9
2000009765,10,MAT-000641,97,175615.59
2000007887,40,MAT-000850,5,9622.0
2000009603,10,MAT-000364,2,3267.24
2000004504,30,MAT-000318,57,97892.37
2000006069,10,MAT-000545,71,2076.75
2000007407,10,MAT-000906,63,60175.71
2000002514,20,MAT-000423,28,17649.52
2000007334,10,MAT-000229,38,39268.06
2000005575,30,MAT-000944,32,26527.36
2000007221,10,MAT-000466,24,38301.6
2000000743,30,MAT-000053,98,87407.18
2000000257,20,MAT-000027,64,107873.28
2000001697,20,MAT-000589,14,22841.14
2000008076,10,MAT-000362,52,63398.92
2000001022,20,MAT-000804,64,44973.44
2000007053,40,MAT-000700,95,-145028.9
2000004008,40,MAT-000693,68,49660.4
2000006679,10,MAT-000937,22,42511.7
2000008824,30,MAT-000595,100,61609.0
2000002407,20,MAT-000296,77,62902.07
2000009744,20,MAT-000681,13,16995.55
2000002743,40,MAT-000401,46,9452.54
2000002206,30,MAT-000873,69,113772.72
2000008251,30,MAT-000502,82,96451.68
2000008399,20,MAT-000959,39,17103.06
2000007512,40,MAT-000641,26,28888.86
2000008695,10,MAT-000281,13,4594.72
2000008528,40,MAT-000082,98,5480.16
2000007337,30,MAT-000702,42,68296.62
2000003188,20,MAT-000226,84,58861.32
2000007519,50,MAT-000898,20,37380.4
2000005963,30,MAT-000872,48,2021.76
2000002774,10,MAT-000663,1,21.92
2000002020,50,MAT-000088,27,29679.48
2000007273,10,MAT-000627,71,51426.01
2000003005,20,MAT-000676,6,7713.06
2000009505,30,MAT-000494,31,22082.23
2000007392,30,MAT-000314,96,127204.8
2000009261,10,MAT-000529,40,74808.4
2000001187,50,MAT-000390,57,80361.45
2000001669,10,MAT-000669,43,35575.19
2000000189,40,MAT-000168,36,6249.24
2000006353,20,MAT-000707,69,45613.83
2000006560,20,MAT-000155,48,48370.08
2000003817,50,MAT-000371,10,15526.0
2000008029,10,MAT-000140,33,966.9
2000009756,20,MAT-000995,6,4923.72
2000003909,10,MAT-000066,13,9993.62
2000008985,20,MAT-000770,14,23651.46
2000006181,20,MAT-000141,48,1380.0
2000005496,20,MAT-000308,53,4958.68
2000006460,20,MAT-000210,43,1400.08
2000004891,10,MAT-000788,59,8838.2
2000001392,50,MAT-000570,72,117086.4
2000009740,20,MAT-000472,22,
2000008658,20,MAT-000249,81,26759.16
2000003319,30,MAT-000875,97,48530.07
2000003873,30,MAT-000614,6,5531.94
2000003214,50,MAT-000195,39,76397.1
2000004717,30,MAT-000556,14,4929.68
2000004526,30,MAT-000787,8,2235.6
2000009422,10,MAT-000815,41,
2000006140,30,MAT-000730,64,110928.0
2000003618,10,MAT-000833,38,12403.96
2000006911,30,MAT-000612,71,119855.81
2000009388,30,MAT-000457,14,17512.88
2000004657,10,MAT-000578,81,102379.14
2000004379,10,MAT-000272,10,16272.1
2000004653,30,MAT-000878,61,74707.92
2000000896,10,MAT-000440,95,148469.8
2000009782,40,MAT-000041,38,40949.18
2000001162,10,MAT-000965,75,49446.0
2000009493,20,MAT-000543,63,81326.7
2000004531,20,MAT-000796,64,122871.04
2000000638,20,MAT-000079,31,38530.52
2000008561,10,MAT-000107,15,8194.35
2000003680,20,MAT-000840,16,-3748.64
2000002943,10,MAT-000075,15,17702.4
2000007281,10,MAT-000393,54,32976.18
2000004350,20,MAT-000368,48,87337.44
2000001554,10,MAT-000393,97,83345.31
2000007128,20,MAT-000186,28,
2000008776,10,MAT-000900,6,4489.08
2000003533,40,MAT-000090,7,12842.13
2000004202,10,MAT-000142,71,52853.82
2000002817,10,MAT-000213,50,45424.5
2000006631,30,MAT-000628,41,70277.69
2000008021,20,MAT-000808,45,14023.35
2000006504,20,MAT-000327,33,63570.21
2000004615,10,MAT-000537,91,48719.58
2000002283,30,MAT-000093,74,143200.36
2000002281,10,MAT-000907,69,137347.95
2000005003,30,MAT-000921,93,93181.35
2000000751,10,MAT-000800,65,62598.25
2000007902,40,MAT-000559,21,14900.76
2000005832,20,MAT-000743,66,44491.26
2000005817,40,MAT-000179,9,17231.49
2000006757,30,MAT-000718,32,16097.6
2000008875,10,MAT-000814,48,81036.0
2000007455,10,MAT-000167,9,10340.55
2000004990,10,MAT-000895,97,92582.62
2000009274,10,MAT-000098,73,56588.87
2000004360,40,MAT-000210,66,
2000000667,20,MAT-000473,74,90997.8
2000005464,40,MAT-000978,87,66645.48
2000001988,30,MAT-000435,87,106688.1
2000000656,20,MAT-000204,76,103119.08
2000005130,10,MAT-000930,95,92521.45
2000000842,10,MAT-000782,2,-388.34
2000008969,10,MAT-000508,67,115125.43
2000007512,10,MAT-000556,49,84986.58
2000005774,10,MAT-000072,18,32025.96
2000001446,30,MAT-000934,57,46431.63
2000009762,20,MAT-000795,98,20814.22
2000001848,30,MAT-000893,45,1659.15
2000001417,10,MAT-000025,86,167108.32
2000002650,10,MAT-000523,91,15643.81
2000008730,30,MAT-000119,50,10082.0
2000008757,20,MAT-000471,34,
2000001583,30,MAT-000376,23,18403.91
2000009771,10,MAT-000653,19,549.1
2000005963,40,MAT-000552,39,32072.82
2000000477,30,MAT-000639,88,60183.2
2000008004,40,MAT-000274,38,33075.96
2000008375,10,MAT-000309,60,81998.4
2000004599,30,MAT-000730,35,
2000002253,30,MAT-000777,7,3859.1
2000008798,20,MAT-000835,96,47865.6
2000005664,50,MAT-000953,98,134792.14
2000008074,10,MAT-000262,33,59856.72
2000007063,30,MAT-000328,13,3910.79
2000002536,20,MAT-000374,68,51348.84
2000006100,30,MAT-000734,19,36503.18
2000005201,20,MAT-000892,90,86065.2
2000001528,30,MAT-000430,21,41897.73
2000005936,50,MAT-000063,71,120986.84
2000001434,10,MAT-000342,45,49823.1
2000006510,40,MAT-000476,47,64743.91
2000001114,20,MAT-000753,81,74025.09
2000003328,40,MAT-000051,76,35368.88
2000005773,10,MAT-000222,100,2701.0
2000001389,30,MAT-000148,51,90011.94
2000002922,20,MAT-000874,94,
2000008920,10,MAT-000163,7,9124.08
2000005885,10,MAT-000027,72,6934.32
2000000659,20,MAT-000631,34,10716.12
2000008038,30,MAT-000529,60,42450.6
2000008145,10,MAT-000864,86,74257.56
2000003715,20,MAT-000392,42,25868.22
2000000351,10,MAT-000576,3,337.68
2000003020,10,MAT-000526,97,122649.71
2000008794,50,MAT-000875,58,104885.46
2000004421,20,MAT-000748,78,66261.78
2000002981,10,MAT-000486,67,28914.52
2000007847,20,MAT-000161,28,37965.76
2000001336,40,MAT-000311,7,13073.48
2000007826,10,MAT-000012,85,91222.0
2000003443,50,MAT-000901,97,76482.56
2000007286,20,MAT-000960,32,29866.24
2000009391,20,MAT-000318,58,9984.12
2000000306,40,MAT-000825,81,98053.74
2000006232,20,MAT-000511,2,2797.06
2000004967,30,MAT-000895,68,81671.4
2000005997,40,MAT-000846,59,113290.62
2000003626,30,MAT-000978,45,84122.1
2000001841,30,MAT-000676,10,19757.0
2000002950,40,MAT-000040,62,79270.1
2000000383,30,MAT-000219,4,4346.88
2000008200,40,MAT-000001,9,16294.32
2000005446,10,MAT-000368,40,15909.2
2000007367,20,MAT-000656,63,63890.82
2000008987,40,MAT-000788,67,31422.33
2000009723,10,MAT-000583,92,143463.88
2000004354,40,MAT-000368,78,104552.76
2000009522,10,MAT-000986,77,17581.41
2000006805,30,MAT-000198,21,10460.1
2000003586,50,MAT-000177,67,53837.18
2000002516,40,MAT-000435,89,121599.81
2000004548,50,MAT-000612,75,129516.0
2000006644,50,MAT-000028,46,41285.92
2000009461,10,MAT-000729,63,51450.84
2000005788,20,MAT-000243,100,164994.0
2000006953,40,MAT-000527,13,6061.64
2000003655,40,MAT-000749,38,40837.84
2000009017,10,MAT-000419,71,82344.38
2000001494,10,MAT-000188,58,73580.54
2000009319,20,MAT-000291,59,55831.11
2000003455,20,MAT-000936,46,15788.58
2000001016,40,MAT-000218,50,4478.5
2000007866,10,MAT-000352,92,4499.72
2000005653,20,MAT-000812,73,91468.27
2000007170,10,MAT-000334,72,109719.36
2000001661,20,MAT-000982,67,115651.38
2000002036,10,MAT-000807,34,33018.42
2000001700,40,MAT-000955,50,
2000004346,30,MAT-000498,36,28473.12
2000003075,30,MAT-000641,65,126949.55
2000001182,40,MAT-000690,17,6766.34
2000002115,40,MAT-000206,12,16158.36
2000007250,20,MAT-000245,76,92550.52
2000007878,30,MAT-000493,18,19831.14
2000004184,10,MAT-000469,51,44507.7
2000004200,10,MAT-000826,57,108363.27
2000005324,20,MAT-000938,77,26195.4
2000000372,10,MAT-000309,8,11201.28
2000005018,10,MAT-000293,86,143851.34
2000005701,10,MAT-000035,21,18693.99
2000002479,40,MAT-000452,6,10112.58
2000002854,10,MAT-000050,37,26540.1
2000003665,10,MAT-000300,96,170926.08
2000007754,40,MAT-000071,10,738.0
2000006465,20,MAT-000611,80,38592.8
2000002915,20,MAT-000356,79,5484.18
2000008749,50,MAT-000609,100,34527.0
2000001562,30,MAT-000858,6,4133.28
2000007814,20,MAT-000586,87,150603.09
2000001738,30,MAT-000351,5,860.85
2000009198,10,MAT-000757,73,95026.29
2000004622,40,MAT-000912,4,2877.2
2000001550,10,MAT-000418,33,6864.0
2000007206,10,MAT-000068,60,48296.4
2000000414,20,MAT-000387,50,37321.0
2000000620,40,MAT-000373,55,14214.2
2000007444,20,MAT-000538,97,15418.15
2000000405,50,MAT-000884,27,10877.76
2000006217,10,MAT-000719,82,60484.02
2000008006,10,MAT-000376,38,69984.98
2000001581,50,MAT-000729,14,529.2
2000006573,20,MAT-000893,71,104830.79
2000003132,10,MAT-000526,52,71535.36
2000003763,20,MAT-001000,82,107303.56
2000009252,20,MAT-000474,40,15645.2
2000008094,30,MAT-000572,90,82793.7
2000008412,10,MAT-000942,6,2748.54
2000000887,20,MAT-000239,18,20864.34
2000002964,30,MAT-000953,66,117368.46
2000005598,20,MAT-000272,13,9511.97
2000009401,10,MAT-000068,10,6740.6
2000004100,30,MAT-000816,2,3293.62
2000001760,30,MAT-000863,42,38711.82
2000003249,20,MAT-000936,5,8901.2
2000008963,20,MAT-000036,81,149594.85
2000000399,40,MAT-000158,44,10424.48
2000000766,10,MAT-000064,48,-38704.32
2000004154,30,MAT-000595,58,40022.32
2000007882,10,MAT-000429,49,47154.17
2000001877,20,MAT-000889,41,35315.35
2000004156,10,MAT-000334,79,144209.76
2000005727,30,MAT-000969,93,152321.91
2000008656,40,MAT-000017,42,16269.12
2000002118,20,MAT-000982,97,89479.59
2000002417,20,MAT-000076,23,
2000009904,10,MAT-000902,4,3953.24
2000007733,30,MAT-000024,89,12775.06
2000003108,50,MAT-000275,74,25862.26
2000005179,50,MAT-000217,10,7784.6
2000005816,10,MAT-000953,88,104819.44
2000007983,20,MAT-000178,40,28647.6
2000006233,30,MAT-000489,55,57784.65
2000009633,10,MAT-000272,37,63746.93
2000007475,20,MAT-000453,56,81377.52
2000001816,50,MAT-000305,65,15889.9
2000005934,20,MAT-000058,34,5116.32
2000008200,20,MAT-000864,78,84388.2
2000006115,50,MAT-000865,5,6039.35
2000008406,30,MAT-000947,50,43134.5
2000003580,30,MAT-000955,57,21698.76
2000007446,40,MAT-000538,1,134.36
2000004472,50,MAT-000148,6,6701.34
2000003349,40,MAT-000201,32,38208.0
2000008097,40,MAT-000387,33,17019.75
2000004789,20,MAT-000731,92,41122.16
2000003395,40,MAT-000685,31,27076.33
2000006631,40,MAT-000960,96,133008.96
2000000319,20,MAT-000844,70,29309.7
2000005787,20,MAT-000639,67,51920.31
2000002836,10,MAT-000403,36,60141.6
2000007740,40,MAT-000771,26,27041.3
2000005261,10,MAT-000418,97,48990.82
2000003537,50,MAT-000138,91,110814.34
2000009792,40,MAT-000885,8,14613.76
2000005388,10,MAT-000895,45,51444.0
2000009113,10,MAT-000615,41,18552.5
2000008063,30,MAT-000829,26,32007.04
2000005332,30,MAT-000832,65,103207.65
2000002020,40,MAT-000062,21,13632.99
2000003308,20,MAT-000217,40,31821.2
2000005672,10,MAT-000830,62,107117.4
2000002928,10,MAT-000043,69,124649.19
2000002586,40,MAT-000450,84,99957.48
2000003441,20,MAT-000147,27,36591.21
2000004617,30,MAT-000732,47,72565.65
2000002148,20,MAT-000768,18,26993.52
2000008645,40,MAT-000446,45,88503.3
2000005952,10,MAT-000160,55,67107.15
2000002849,20,MAT-000973,8,12506.8
2000004260,10,MAT-000831,80,84790.4
2000007767,40,MAT-000942,89,137175.7
2000002037,20,MAT-000917,1,1023.55
2000003447,20,MAT-000142,83,137182.4
2000001104,30,MAT-000942,53,6772.34
2000008925,10,MAT-000024,39,12237.42
2000008014,10,MAT-000001,80,67532.8
2000005261,30,MAT-000513,64,24777.6
2000000818,10,MAT-000013,16,22455.68
2000008258,20,MAT-000236,69,120444.33
2000002055,30,MAT-000507,84,22380.12
2000002206,20,MAT-000164,13,
2000007831,20,MAT-000483,86,
2000007034,40,MAT-000088,48,48175.2
2000007485,50,MAT-000170,99,63406.53
2000000159,30,MAT-000247,53,93253.5
2000001039,20,MAT-000579,78,11214.84
2000003973,10,MAT-000443,93,43896.93
2000009644,20,MAT-000134,66,117676.68
2000001411,50,MAT-000274,67,
2000001503,10,MAT-000463,86,106277.94
2000006169,10,MAT-000914,42,9466.8
2000003075,20,MAT-000774,78,62109.06
2000003267,20,MAT-000774,3,5148.87
2000003442,40,MAT-000931,23,19053.2
2000005017,20,MAT-000700,59,108480.35
2000008572,50,MAT-000957,18,16857.18
2000009202,40,MAT-000022,90,106709.4
2000009197,30,MAT-000484,76,41354.64
2000003522,10,MAT-000648,96,89289.6
2000000324,30,MAT-000210,59,19726.06
2000006485,30,MAT-000680,93,126025.23
2000007993,20,MAT-000671,86,71464.28
2000000646,30,MAT-000765,91,120272.88
2000000018,40,MAT-000289,30,27434.4
2000001379,30,MAT-000032,75,60907.5
2000006194,30,MAT-000605,64,106158.72
2000003512,30,MAT-000820,82,70681.54
2000003299,10,MAT-000015,15,21283.8
2000001959,10,MAT-000777,51,
2000009079,30,MAT-000985,9,8885.97
2000002018,20,MAT-000248,68,117792.32
2000008185,10,MAT-000478,16,28854.88
2000000659,30,MAT-000200,49,62061.93
2000006829,20,MAT-000621,53,61334.25
2000007980,10,MAT-000674,6,10049.82
2000004303,20,MAT-000537,56,82667.2
2000004882,10,MAT-000020,39,57028.53
2000000606,10,MAT-000020,78,80641.86
2000006422,30,MAT-000075,1,1857.37
2000005015,40,MAT-000211,13,21830.77
2000005498,30,MAT-000719,83,33478.05
